bird_id,date_time
bvGx3,2019-04-08T11:49:27Z
t3w0r,2019-04-08T11:49:34Z
f5NV7,2019-04-08T11:50:18Z
bvGx3,2019-04-08T11:50:27Z
bvGx3,2019-04-08T11:50:47Z
bvGx3,2019-04-08T11:51:07Z
bvGx3,2019-04-08T11:51:27Z
j7F15,2019-04-08T11:51:31Z
f5NV7,2019-04-08T11:51:38Z
bvGx3,2019-04-08T11:51:46Z
j7F15,2019-04-08T11:51:52Z
bvGx3,2019-04-08T11:52:06Z
j7F15,2019-04-08T11:52:12Z
bvGx3,2019-04-08T11:52:26Z
j7F15,2019-04-08T11:52:32Z
bvGx3,2019-04-08T11:52:46Z
j7F15,2019-04-08T11:52:53Z
bvGx3,2019-04-08T11:53:06Z
j7F15,2019-04-08T11:53:13Z
bvGx3,2019-04-08T11:53:26Z
j7F15,2019-04-08T11:53:33Z
f5NV7,2019-04-08T11:53:38Z
bvGx3,2019-04-08T11:53:46Z
j7F15,2019-04-08T11:53:54Z
f5NV7,2019-04-08T11:53:58Z
bvGx3,2019-04-08T11:54:06Z
j7F15,2019-04-08T11:54:14Z
bvGx3,2019-04-08T11:54:26Z
j7F15,2019-04-08T11:54:34Z
bvGx3,2019-04-08T11:54:45Z
j7F15,2019-04-08T11:54:54Z
j7F15,2019-04-08T11:55:15Z
j7F15,2019-04-08T11:55:35Z
j7F15,2019-04-08T11:55:55Z
bvGx3,2019-04-08T11:56:05Z
j7F15,2019-04-08T11:56:16Z
bvGx3,2019-04-08T11:56:25Z
bvGx3,2019-04-08T11:56:45Z
j7F15,2019-04-08T11:56:56Z
f5NV7,2019-04-08T11:56:58Z
bvGx3,2019-04-08T11:57:05Z
j7F15,2019-04-08T11:57:16Z
f5NV7,2019-04-08T11:57:18Z
j7F15,2019-04-08T11:57:37Z
f5NV7,2019-04-08T11:57:38Z
bvGx3,2019-04-08T11:57:45Z
j7F15,2019-04-08T11:57:57Z
f5NV7,2019-04-08T11:57:58Z
bvGx3,2019-04-08T11:58:04Z
j7F15,2019-04-08T11:58:17Z
bvGx3,2019-04-08T11:58:24Z
j7F15,2019-04-08T11:58:38Z
j7F15,2019-04-08T11:58:58Z
j7F15,2019-04-08T11:59:18Z
j7F15,2019-04-08T11:59:19Z
f5NV7,2019-04-08T11:59:38Z
j7F15,2019-04-08T11:59:39Z
j7F15,2019-04-08T11:59:39Z
j7F15,2019-04-08T11:59:59Z
j7F15,2019-04-08T11:59:59Z
j7F15,2019-04-08T12:01:20Z
j7F15,2019-04-08T12:01:40Z
j7F15,2019-04-08T12:02:01Z
j7F15,2019-04-08T12:02:21Z
bvGx3,2019-04-08T12:02:23Z
j7F15,2019-04-08T12:02:41Z
j7F15,2019-04-08T12:03:01Z
bvGx3,2019-04-08T12:03:03Z
j7F15,2019-04-08T12:03:22Z
j7F15,2019-04-08T12:03:42Z
j7F15,2019-04-08T12:04:02Z
f5NV7,2019-04-08T12:04:18Z
j7F15,2019-04-08T12:04:23Z
f5NV7,2019-04-08T12:04:38Z
j7F15,2019-04-08T12:04:43Z
f5NV7,2019-04-08T12:04:58Z
j7F15,2019-04-08T12:05:03Z
f5NV7,2019-04-08T12:05:18Z
j7F15,2019-04-08T12:05:24Z
f5NV7,2019-04-08T12:05:38Z
j7F15,2019-04-08T12:05:44Z
f5NV7,2019-04-08T12:05:58Z
j7F15,2019-04-08T12:06:04Z
f5NV7,2019-04-08T12:06:18Z
j7F15,2019-04-08T12:06:24Z
f5NV7,2019-04-08T12:06:38Z
j7F15,2019-04-08T12:06:45Z
f5NV7,2019-04-08T12:06:58Z
j7F15,2019-04-08T12:07:05Z
f5NV7,2019-04-08T12:07:18Z
j7F15,2019-04-08T12:07:25Z
f5NV7,2019-04-08T12:07:38Z
j7F15,2019-04-08T12:07:46Z
f5NV7,2019-04-08T12:07:58Z
j7F15,2019-04-08T12:08:06Z
f5NV7,2019-04-08T12:08:18Z
j7F15,2019-04-08T12:08:26Z
f5NV7,2019-04-08T12:08:38Z
f5NV7,2019-04-08T12:08:58Z
f5NV7,2019-04-08T12:09:18Z
f5NV7,2019-04-08T12:09:38Z
f5NV7,2019-04-08T12:09:58Z
f5NV7,2019-04-08T12:10:18Z
f5NV7,2019-04-08T12:10:38Z
f5NV7,2019-04-08T12:10:58Z
f5NV7,2019-04-08T12:11:18Z
f5NV7,2019-04-08T12:11:38Z
j7F15,2019-04-08T12:12:09Z
t3w0r,2019-04-08T12:12:20Z
bvGx3,2019-04-08T12:12:20Z
j7F15,2019-04-08T12:12:30Z
j7F15,2019-04-08T12:12:50Z
t3w0r,2019-04-08T12:13:01Z
j7F15,2019-04-08T12:13:10Z
bvGx3,2019-04-08T12:13:20Z
t3w0r,2019-04-08T12:13:21Z
j7F15,2019-04-08T12:13:31Z
j7F15,2019-04-08T12:13:51Z
t3w0r,2019-04-08T12:14:01Z
j7F15,2019-04-08T12:14:11Z
f5NV7,2019-04-08T12:14:18Z
t3w0r,2019-04-08T12:14:21Z
